"","Player","X.x","Year","Pos","Age","Tm","G","GS","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","X.y","height","weight","collage","born","birth_city","birth_state","X","Team","Salary","conference"
"387","Josh Huestis",24347,2017,"PF",25,"OKC",2,0,31,26.1,0.612,0.364,0.091,14.3,17.9,16.1,15.5,0,7.7,0,15.7,0.1,0,0.2,0.265,3.9,1.8,5.7,0.1,6,11,0.545,2,4,0.5,4,7,0.571,0.636,0,1,0,4,5,9,3,0,3,0,0,14,3786,201,104,"Stanford University",1991,"Webster","Texas",391,"OKC",1471382,FALSE
"388","Josh Richardson",24553,2017,"SG",23,"MIA",53,34,1614,10.7,0.493,0.442,0.15,2.4,9.2,5.8,12.7,1.9,1.9,10.6,16.8,0.3,1.9,2.2,0.066,-1,1.1,0.2,0.9,202,513,0.394,75,227,0.33,127,286,0.444,0.467,60,77,0.779,35,133,168,140,60,39,65,132,539,3817,198,90,"University of Tennessee",1993,"Edmond","Oklahoma",380,"MIA",1471382,TRUE
"389","Kevon Looney",24425,2017,"C",20,"GSW",53,4,447,13.4,0.553,0.084,0.318,11.5,18.5,15.2,8.5,1.5,3,12.2,13.4,0.7,0.8,1.4,0.154,-1.4,1.7,0.3,0.3,56,107,0.523,2,9,0.222,54,98,0.551,0.533,21,34,0.618,44,80,124,29,14,17,17,64,135,3794,206,99,"University of California, Los Angeles",1996,"Milwaukee","Wisconsin",395,"GSW",1471382,FALSE
"390","Larry Nance",24483,2017,"PF",24,"LAL",63,7,1442,15.8,0.567,0.1,0.222,8.8,19.6,14,9.7,2.8,2.3,12.4,13.4,2.1,1.5,3.5,0.118,-0.3,2.3,2,1.5,190,361,0.526,10,36,0.278,180,325,0.554,0.54,59,80,0.738,120,249,369,96,82,40,56,149,449,1507,208,92,"Clemson University",1959,"Anderson","South Carolina",384,"CLE",1471382,FALSE
"391","Montrezl Harrell",24309,2017,"C",23,"HOU",58,14,1064,19.2,0.662,0.02,0.351,8.3,14.2,11.2,9.6,0.9,3.2,9.9,17.6,3.1,1,4.1,0.183,0.8,0.2,0.9,0.8,225,345,0.652,1,7,0.143,224,338,0.663,0.654,76,121,0.628,81,138,219,64,20,42,44,126,527,3779,203,108,"University of Louisville",1994,"Tarboro","North Carolina",393,"LAC",1471382,FALSE
"392","Nikola Jokic",24380,2017,"C",21,"DEN",73,59,2038,26.4,0.64,0.163,0.267,11.6,27.2,19.5,28.8,1.5,2.1,15.2,23.5,7.7,2,9.7,0.229,6.2,2.2,8.3,5.3,494,854,0.578,45,139,0.324,449,715,0.628,0.605,188,228,0.825,212,506,718,359,61,56,171,214,1221,3790,208,113,"",1995,"Sombor","Serbia",396,"DEN",1471382,FALSE
"393","Norman Powell",24542,2017,"SG",23,"TOR",76,18,1368,14,0.552,0.342,0.314,2.2,11.7,6.9,9.3,1.9,0.9,10.8,21.1,1.4,1.4,2.8,0.097,-0.4,-1.2,-1.5,0.2,227,506,0.449,56,173,0.324,171,333,0.514,0.504,126,159,0.792,26,142,168,82,51,14,70,127,636,3815,193,97,"University of California, Los Angeles",1993,"San Diego","California",379,"TOR",1471382,TRUE
"394","Pat Connaughton",24202,2017,"SG",24,"POR",39,1,316,11.8,0.645,0.458,0.125,3.5,14.8,9.1,12.7,0.9,0.5,18.3,13,0.4,0.2,0.6,0.09,-0.9,-1.6,-2.5,0,37,72,0.514,17,33,0.515,20,39,0.513,0.632,7,9,0.778,10,42,52,28,6,2,17,23,98,3771,196,93,"University of Notre Dame",1993,"Arlington","Massachusetts",388,"POR",1471382,FALSE
"395","Raul Neto",24488,2017,"PG",24,"UTA",40,0,346,10.7,0.527,0.341,0.099,1.4,8.4,5,15.1,3.2,1.2,13.6,14.8,0.2,0.6,0.7,0.1,-1.7,1.4,-0.3,0.1,41,91,0.451,10,31,0.323,31,60,0.517,0.505,8,9,0.889,4,26,30,34,21,5,15,48,100,3806,185,81,"",1992,"Belo Horizonte","Brazil",387,"UTA",1471382,FALSE
"396","Richaun Holmes",24341,2017,"C",23,"PHI",57,17,1193,18.6,0.611,0.187,0.25,8.7,20.1,14.4,8.3,1.7,3.7,10.7,18.6,2.2,1.6,3.7,0.151,0.2,1.5,1.7,1.1,230,412,0.558,27,77,0.351,203,335,0.606,0.591,72,103,0.699,94,217,311,58,42,55,55,136,559,3784,208,111,"Bowling Green State University",1993,"Lockport","Illinois",389,"PHI",1471382,TRUE
